Rank,Root Domain,Linking Root Domains,Domain Authority
1,youtube.com,"17,985,230",100
2,apple.com,"4,549,680",100
3,www.google.com,"12,218,030",100
4,microsoft.com,"4,601,453",99
5,cloudflare.com,"5,239,293",99
6,www.blogger.com,"25,578,174",99
7,support.google.com,"4,644,243",99
8,play.google.com,"2,381,759",99
9,linkedin.com,"9,062,949",98
10,maps.google.com,"4,370,218",98
11,adobe.com,"2,813,122",98
12,docs.google.com,"2,277,786",98
13,wordpress.org,"10,063,356",98
14,en.wikipedia.org,"5,425,193",98
15,mozilla.org,"1,925,015",98
16,plus.google.com,"11,734,652",97
17,sites.google.com,"1,721,080",97
18,googleusercontent.com,"2,169,264",97
19,accounts.google.com,"2,532,531",97
20,europa.eu,"1,669,285",97
21,youtu.be,"3,893,923",97
22,vimeo.com,"3,078,058",97
23,drive.google.com,"1,797,213",97
24,cnn.com,"1,213,760",96
25,github.com,"2,023,807",96
26,es.wikipedia.org,"774,480",96
27,medium.com,"1,141,933",96
28,istockphoto.com,"3,117,065",96
29,facebook.com,"45,999,468",96
30,bp.blogspot.com,"16,053,350",96
31,bbc.co.uk,"1,405,358",96
32,amazon.com,"4,004,095",96
33,line.me,"627,710",96
34,vk.com,"1,604,259",96
35,paypal.com,"900,272",95
36,policies.google.com,"1,127,062",95
37,msn.com,"979,557",95
38,uol.com.br,"563,211",95
39,developers.google.com,"894,253",95
40,whatsapp.com,"1,957,860",95
41,fr.wikipedia.org,"533,839",95
42,pt.wikipedia.org,"356,343",95
43,opera.com,"745,581",95
44,who.int,"2,019,679",95
45,www.yahoo.com,"925,797",95
46,imdb.com,"1,222,164",95
47,w3.org,"1,049,377",95
48,reuters.com,"722,456",95
49,gstatic.com,"583,413",95
50,mail.google.com,"438,319",95
51,myspace.com,"1,245,211",95
52,hugedomains.com,"4,948,591",95
53,t.me,"567,921",95
54,news.yahoo.com,"583,151",95
55,dailymotion.com,"1,061,684",95
56,google.es,"413,886",95
57,nytimes.com,"1,676,643",95
58,mail.ru,"473,911",95
59,globo.com,"380,428",95
60,jimdofree.com,"1,667,718",95
61,dropbox.com,"927,434",95
62,google.co.jp,"624,543",95
63,google.co.uk,"535,270",95
64,forbes.com,"1,136,201",95
65,get.google.com,"751,977",95
66,google.com.br,"262,906",95
67,live.com,"731,468",95
68,bbc.com,"662,501",95
69,google.de,"1,074,189",95
70,news.google.com,"690,228",95
71,feedburner.com,"1,696,378",95
72,theguardian.com,"1,192,402",95
73,washingtonpost.com,"865,962",95
74,nih.gov,"1,047,939",95
75,slideshare.net,"875,598",95
76,wikimedia.org,"1,367,430",95
77,creativecommons.org,"1,557,744",95
78,webmd.com,"546,685",94
79,businessinsider.com,"572,215",94
80,it.wikipedia.org,"280,612",94
81,amazon.co.uk,"626,169",94
82,android.com,"260,808",94
83,picasaweb.google.com,"607,645",94
84,ig.com.br,"130,563",94
85,issuu.com,"843,428",94
86,wired.com,"531,261",94
87,mediafire.com,"762,846",94
88,google.com,"185,060",94
89,wsj.com,"795,831",94
90,files.wordpress.com,"1,983,100",94
91,lefigaro.fr,"186,496",94
92,abcnews.go.com,"469,157",94
93,foxnews.com,"450,838",94
94,themeforest.net,"503,924",94
95,youronlinechoices.com,"504,820",94
96,google.ru,"174,729",94
97,tinyurl.com,"1,247,722",94
98,usatoday.com,"636,348",94
99,scribd.com,"650,253",94
100,elpais.com,"322,731",94
101,translate.google.com,"271,740",94
102,wikia.com,"455,847",94
103,dan.com,"1,827,203",94
104,telegram.me,"274,104",94
105,cpanel.com,"1,223,550",94
106,namecheap.com,"987,205",94
107,bing.com,"892,568",94
108,ft.com,"349,718",94
109,independent.co.uk,"514,620",94
110,archive.org,"882,068",94
111,de.wikipedia.org,"586,722",94
112,plesk.com,"704,198",94
113,www.gov.uk,"484,135",94
114,dailymail.co.uk,"771,007",94
115,mirror.co.uk,"255,278",94
116,aol.com,"653,345",94
117,cdc.gov,"655,157",94
118,code.google.com,"316,287",94
119,marketingplatform.google.com,"753,884",94
120,google.it,"404,282",94
121,gravatar.com,"1,684,672",94
122,aliexpress.com,"440,075",94
123,fandom.com,"430,469",94
124,cpanel.net,"1,309,362",94
125,huffingtonpost.com,"866,577",94
126,myaccount.google.com,"265,414",94
127,un.org,"423,765",94
128,thesun.co.uk,"252,484",94
129,networkadvertising.org,"692,021",94
130,photos.google.com,"228,462",94
131,hatena.ne.jp,"1,451,901",94
132,samsung.com,"301,633",94
133,pinterest.com,"7,334,564",94
134,www.wix.com,"903,536",94
135,bit.ly,"4,081,299",94
136,telegraph.co.uk,"766,059",94
137,amazon.de,"489,636",94
138,steampowered.com,"216,636",94
139,latimes.com,"573,671",94
140,ok.ru,"329,547",94
141,office.com,"352,477",94
142,bloomberg.com,"675,724",94
143,booking.com,"352,402",94
144,harvard.edu,"584,244",94
145,twitter.com,"48,572,079",94
146,fb.com,"359,732",94
147,goo.gl,"4,173,138",94
148,books.google.com,"342,559",94
149,nasa.gov,"546,687",94
150,change.org,"400,964",94
151,cnet.com,"549,389",94
152,search.google.com,"1,031,817",94
153,amazon.co.jp,"772,069",94
154,tools.google.com,"1,470,430",94
